version,date,home_team,away_team,home_score,away_score,actual_outcome,expected_home_goals,expected_away_goals,home_win_prob,draw_prob,away_win_prob,pred_home_score,pred_away_score,score_prob,pred_outcome,exact_score_hit,goal_error
v15_market,2022-11-20,Qatar,Ecuador,0.0,2.0,A,1.0879723733290174,1.1385102060371937,0.33206034676059987,0.31060523041178145,0.3573344228276188,1,1,0.14440076518511816,A,0,1.9494621672918238
v15_market,2022-11-21,Senegal,Netherlands,0.0,2.0,A,0.8462123530367605,1.3307934186456654,0.22778147004167804,0.30241595262817467,0.4698025773301476,0,1,0.1407408320323876,A,0,1.515418934391095
v15_market,2022-11-21,England,Iran,6.0,2.0,H,1.2059093492751154,0.917764822834275,0.4159002352507205,0.31467227045400203,0.26942749429527735,1,1,0.14298927037775733,H,0,5.876325827890609
v15_market,2022-11-21,United States,Wales,1.0,1.0,D,1.5284207223587771,0.5968376330901336,0.5912767637070785,0.27353969368115527,0.1351835426117661,1,0,0.17396285118032054,H,0,0.9315830892686435
v15_market,2022-11-22,Argentina,Saudi Arabia,1.0,2.0,A,1.454439356609736,0.5076164298820837,0.5979178016807141,0.2819766619251266,0.12010553639415918,1,0,0.19629925631625159,H,0,1.9468229267276522
v15_market,2022-11-22,Mexico,Poland,0.0,0.0,D,1.206736675044498,0.9535567283736651,0.4075966666128149,0.3126941089903579,0.27970922439682727,1,1,0.14332404211705,H,0,2.160293403418163
v15_market,2022-11-22,Denmark,Tunisia,0.0,0.0,D,1.2524982216940548,0.7849720674298333,0.4629617731089508,0.31430052163360006,0.222737705257449,1,0,0.15307244908172601,H,0,2.0374702891238883
v15_market,2022-11-22,France,Australia,4.0,1.0,H,1.4723493451786682,0.9265922493967307,0.4883700358970892,0.2840218355844049,0.22760812851850595,1,1,0.13392461718895637,H,0,2.601058405424601
v15_market,2022-11-23,Germany,Japan,1.0,2.0,A,1.297934806185996,1.3883879809798203,0.33991566375282856,0.27855359418720976,0.3815307420599614,1,1,0.13272831340795477,A,0,0.9095468252061758
v15_market,2022-11-23,Spain,Costa Rica,7.0,0.0,H,1.7695418715027749,0.5437940809559243,0.6640238258358779,0.23541426151885497,0.10056191264526697,1,0,0.16783917784548197,H,0,5.774252209453149
v15_market,2022-11-23,Morocco,Croatia,0.0,0.0,D,1.3921728878144695,0.9069446626747235,0.47160272310608553,0.29358130831534013,0.2348159685785741,1,1,0.13692574608829558,H,0,2.2991175504891928
v15_market,2022-11-23,Belgium,Canada,1.0,0.0,H,1.5918542619000127,1.264493882882483,0.4403376284022378,0.2651427285217482,0.29451964307601386,1,1,0.12515853025232324,H,0,1.8563481447824957
v15_market,2022-11-24,Switzerland,Cameroon,1.0,0.0,H,1.2614171080187826,0.8592836854067676,0.44655939537904543,0.31065166384407994,0.24278894077687463,1,0,0.1409550444625235,H,1,1.1207007934255502
v15_market,2022-11-24,Brazil,Serbia,2.0,0.0,H,1.9292303514958673,0.6054582882833602,0.6810052870848604,0.21835671159930456,0.10063800131583452,2,0,0.14810377186785273,H,1,0.6762279367874929
