date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,expected_home_goals,expected_away_goals,home_win_prob,draw_prob,away_win_prob,pred_home_score,pred_away_score,score_prob,pred_outcome,actual_outcome,exact_score_hit,goal_error
2022-11-20,Qatar,Ecuador,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False,1.1276074334507689,1.098491916757725,0.35191964478616566,0.3107236769445205,0.3373566782693143,1,1,0.1444558311282717,H,A,0,2.029115516693044
2022-11-21,Senegal,Netherlands,0.0,2.0,FIFA World Cup,Doha,Qatar,True,0.9228018594041368,1.2203419604346482,0.2682957971621882,0.31278028100038396,0.4189239218374277,1,1,0.1426923899797284,A,A,0,1.7024598989694888
2022-11-21,England,Iran,6.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,1.1589825098456583,0.9549248335413243,0.39319438585075195,0.31774764183312015,0.28905797231612795,1,1,0.14438674054252995,H,H,0,5.886092656613018
2022-11-21,United States,Wales,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,1.4690578322211438,0.620955136204062,0.568846118732281,0.2832936277010022,0.14786025356671662,1,0,0.17281765469909663,H,D,0,0.8481026960170819
2022-11-22,Argentina,Saudi Arabia,1.0,2.0,FIFA World Cup,Lusail,Qatar,True,1.2788734369323216,0.5773028763919035,0.5279364368689151,0.31334211887224434,0.15872144425884,1,0,0.19068881281627026,H,A,0,1.701570560540418
2022-11-22,Mexico,Poland,0.0,0.0,FIFA World Cup,Doha,Qatar,True,1.1931648849190382,0.9644030681828403,0.401067988114312,0.313543595770046,0.2853884161156424,1,1,0.14371340627674908,H,D,0,2.1575679531018785
2022-11-22,Denmark,Tunisia,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,1.1786302701039646,0.8341683931540699,0.4283159175460176,0.3221223328072937,0.2495617496466889,1,0,0.14700957160649877,H,D,0,2.0127986632580344
2022-11-22,France,Australia,4.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,1.3690660720263317,0.9964949972265954,0.4433954571754837,0.29358730410882555,0.26301723871569077,1,1,0.13843501586210816,H,H,0,2.634438930747073
2022-11-23,Germany,Japan,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,1.2476534214478656,1.4443410758356257,0.3163570368850612,0.27699735454053426,0.40664560857440424,1,1,0.1319867790394447,A,A,0,0.80331234561224
2022-11-23,Spain,Costa Rica,7.0,0.0,FIFA World Cup,Doha,Qatar,True,1.5808477284549127,0.6087027728264356,0.6012148503645779,0.2661447177434335,0.13264043189198838,1,0,0.1685945260603052,H,H,0,6.027855044371523
2022-11-23,Morocco,Croatia,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True,1.422258374567959,0.8877597718539278,0.48464376373605667,0.2904199200161275,0.22493631624781585,1,1,0.13545128078930066,H,D,0,2.3100181464218865
2022-11-23,Belgium,Canada,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,1.4712429882966935,1.3681560371909502,0.3883110837615613,0.2696027377548316,0.34208617848360734,1,1,0.12726384237472876,H,H,0,1.8393990254876438
2022-11-24,Switzerland,Cameroon,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,True,1.179097442716445,0.9192752881529157,0.40760307664665496,0.3176358168845416,0.2747611064688035,1,1,0.14362400598550162,H,H,0,1.0983727308693605
2022-11-24,Brazil,Serbia,2.0,0.0,FIFA World Cup,Lusail,Qatar,True,1.7208165328347171,0.6787873570675328,0.6156276462376865,0.2495049091222185,0.13486744464009484,1,0,0.14798819711559105,H,H,0,0.9579708242328157
2022-11-24,Uruguay,South Korea,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,0.8958315150862081,1.1104783987146287,0.280568324581109,0.3269279042181738,0.39250377120071744,0,0,0.14521582045101347,A,D,1,2.0063099138008367
2022-11-24,Portugal,Ghana,3.0,2.0,FIFA World Cup,Doha,Qatar,True,1.4786302139396719,0.6930025788504324,0.5512536545348627,0.2832875670465108,0.16545877841862636,1,0,0.15934377271832564,H,H,0,2.8283672072098955
2022-11-25,Qatar,Senegal,1.0,3.0,FIFA World Cup,Doha,Qatar,False,0.8245641854947632,1.2196159360902732,0.2397008789406839,0.3172711637808969,0.44302795727841915,0,1,0.1475506314468138,A,A,0,1.9558198784149636
2022-11-25,Netherlands,Ecuador,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,1.6688411771271778,0.8311554099350598,0.5627826673023187,0.26073305817372633,0.17648427452395493,1,0,0.12809874589954628,H,D,0,0.8376857671921181
2022-11-25,Wales,Iran,0.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,0.5926343061945176,1.3605816292389246,0.15300109622571118,0.2998473393086087,0.5471515644656801,0,1,0.1839033545346784,A,A,0,1.232052676955593
2022-11-25,England,United States,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True,1.214368008630132,1.0310589058012405,0.3918398781122888,0.3075284084106739,0.30063171347703693,1,1,0.1432325515508161,H,D,0,2.2454269144313725
2022-11-26,Poland,Saudi Arabia,2.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,1.029506001721161,0.9560697541799649,0.3536463633450224,0.3312456916110143,0.3151079450439633,0,0,0.14813707287801983,H,H,0,1.926563752458804
2022-11-26,Argentina,Mexico,2.0,0.0,FIFA World Cup,Lusail,Qatar,True,1.1980012397529607,0.7204678498216733,0.4636549558868058,0.3240421021048536,0.21230294200834043,1,0,0.16580872693996948,H,H,0,1.5224666100687125
2022-11-26,Tunisia,Australia,0.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,0.9376100716859938,0.9780841083170434,0.32011277642219227,0.3382144724098066,0.34167275116800117,0,0,0.15806213270833674,A,A,0,0.9595259633689504
2022-11-26,France,Denmark,2.0,1.0,FIFA World Cup,Doha,Qatar,True,1.2180240804904945,1.200816123839649,0.3559887644364442,0.29632402316807505,0.3476872123954806,1,1,0.14070058753995132,H,H,0,0.9827920433491546
2022-11-27,Japan,Costa Rica,0.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,1.392776429676677,0.6191439763357016,0.5485847622131919,0.2950590133400275,0.15635622444678068,1,0,0.1771402702929677,H,A,0,1.7736324533409753
2022-11-27,Spain,Germany,1.0,1.0,FIFA World Cup,Al Khor,Qatar,True,1.6393753226990793,1.2266130757766258,0.4603784996556382,0.2623512506481691,0.27727024969619274,1,1,0.12385588045875967,H,D,1,0.8659883984757051
2022-11-27,Belgium,Morocco,0.0,2.0,FIFA World Cup,Doha,Qatar,True,1.3061690608516867,1.0328582987177082,0.4174269224637867,0.29850396905451304,0.28406910848169975,1,1,0.14055993387474475,H,A,0,2.2733107621339785
2022-11-27,Croatia,Canada,4.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,0.9999550431705336,1.883967417434063,0.18903954598078818,0.24023209511500987,0.570728358904202,1,1,0.11414956688359987,A,H,0,3.8840123742635293
2022-11-28,Cameroon,Serbia,3.0,3.0,FIFA World Cup,Al Wakrah,Qatar,True,0.9111652638591594,1.1627498379788548,0.27537639984549056,0.31995673322348495,0.40466686693102416,1,1,0.1438559979605813,A,D,0,3.926084898161986
2022-11-28,Brazil,Switzerland,1.0,0.0,FIFA World Cup,Doha,Qatar,True,1.7361330340666434,0.6883307231913262,0.6166085368107125,0.24789899990689138,0.13549246328239603,1,0,0.1455366548442564,H,H,1,1.4244637572579695
2022-11-28,South Korea,Ghana,2.0,3.0,FIFA World Cup,Al Rayyan,Qatar,True,1.2105205031876933,0.7490615938187472,0.4598539478315395,0.3212839657262938,0.21886208644216673,1,0,0.16040571468807038,H,A,0,3.0404179029935596
2022-11-28,Portugal,Uruguay,2.0,0.0,FIFA World Cup,Lusail,Qatar,True,1.3564304841949484,0.8287883870875008,0.48150812588196906,0.2995563603087278,0.21893551380930354,1,0,0.14249877648260906,H,H,0,1.4723579028925524
2022-11-29,Ecuador,Senegal,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,0.7440412631009611,1.12968330065497,0.23056663570345196,0.33311873804355235,0.4363146262529959,0,0,0.16390661408795995,A,A,0,1.126275436244069
2022-11-29,Qatar,Netherlands,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False,0.9211061504255209,1.8016954780582315,0.1812898214086366,0.24729601460200032,0.5714141639893631,1,1,0.11804891048355333,A,A,0,1.1194106723672894
2022-11-29,Wales,England,0.0,3.0,FIFA World Cup,Al Rayyan,Qatar,True,0.6029706323912805,1.6801252915292446,0.12148824482233941,0.2515408047902423,0.6269709503874181,0,1,0.1633424867867344,A,A,0,1.9228453408620358
2022-11-29,Iran,United States,0.0,1.0,FIFA World Cup,Doha,Qatar,True,0.9834068994781597,1.0133841458611528,0.32691934011214246,0.33046284773333867,0.34261781215451875,0,0,0.14661887284092764,A,A,0,0.9967910453393125
2022-11-30,Poland,Argentina,0.0,2.0,FIFA World Cup,Doha,Qatar,True,0.7428769252597603,1.5282746549348383,0.17212784803903153,0.277144029549205,0.550728122411764,0,1,0.1484899651172357,A,A,0,1.2146022703249222
2022-11-30,Saudi Arabia,Mexico,1.0,2.0,FIFA World Cup,Lusail,Qatar,True,0.7494547836015394,0.9984506857299343,0.2554886982073558,0.3518291422863827,0.3926821595062615,0,0,0.1845805787613164,A,A,0,1.2520945306685265
2022-11-30,Australia,Denmark,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,True,0.9936851990493606,1.3459184377858666,0.2662180926384247,0.296099264568204,0.4376826427933709,1,1,0.1392720766393151,A,H,0,1.3522332387365061
2022-11-30,Tunisia,France,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,0.8365271329570111,1.1989008166922026,0.24675486111913475,0.31942485394880965,0.43382028493205566,0,1,0.14616601548941197,A,H,0,1.3623736837351914
2022-12-01,Japan,Spain,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,1.0618089833354056,1.2258614793510194,0.30718727638920607,0.3046275287923161,0.38818519481847774,1,1,0.14274631321330133,A,H,0,1.1640524960156138
2022-12-01,Costa Rica,Germany,2.0,4.0,FIFA World Cup,Al Khor,Qatar,True,0.8279967786734647,1.6089502039325325,0.183252147352836,0.2679475577887886,0.5488002948583754,0,1,0.13153326196259502,A,A,0,3.563053017394003
2022-12-01,Croatia,Belgium,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,1.0157788187810086,2.057978531634666,0.17215152991670848,0.22352074338755384,0.6043277266957372,1,1,0.10497445953310083,A,D,0,3.0737573504156748
2022-12-01,Canada,Morocco,1.0,2.0,FIFA World Cup,Doha,Qatar,True,1.1957267359589092,1.0167684594198783,0.389711941346432,0.3101924028629132,0.30009565579065467,1,1,0.14373088886530935,H,A,0,1.178958276539031
2022-12-02,Serbia,Switzerland,2.0,3.0,FIFA World Cup,Doha,Qatar,True,1.2907322706150335,1.2973320502980157,0.355963060959118,0.2849846051721439,0.359052333868738,1,1,0.13604114876619705,A,A,0,2.411935679086951
2022-12-02,Cameroon,Brazil,1.0,0.0,FIFA World Cup,Lusail,Qatar,True,0.48344064642118245,1.5639869320915196,0.10402995854299553,0.26264686901535017,0.6333231724416538,0,1,0.1942797280555899,A,H,0,2.080546285670337
