team,elo,matches_played,first_match_date,last_match_date_x,career_points_per_game,career_goals_for_per_game,career_goals_against_per_game,career_goal_diff_per_game,career_win_rate,career_clean_sheet_rate,last_5_matches,last_5_points_per_game,last_5_goals_for_per_game,last_5_goals_against_per_game,last_5_goal_diff_per_game,last_5_win_rate,last_5_clean_sheet_rate,last_5_failed_to_score_rate,last_10_matches,last_10_points_per_game,last_10_goals_for_per_game,last_10_goals_against_per_game,last_10_goal_diff_per_game,last_10_win_rate,last_10_clean_sheet_rate,last_10_failed_to_score_rate,last_20_matches,last_20_points_per_game,last_20_goals_for_per_game,last_20_goals_against_per_game,last_20_goal_diff_per_game,last_20_win_rate,last_20_clean_sheet_rate,last_20_failed_to_score_rate,last_50_matches,last_50_points_per_game,last_50_goals_for_per_game,last_50_goals_against_per_game,last_50_goal_diff_per_game,last_50_win_rate,last_50_clean_sheet_rate,last_50_failed_to_score_rate,custom_elo,strength_score_v1,matches,weighted_goals_for,weighted_goals_against,attack_rating,defense_rating,last_10_goals_for,last_10_goals_against,last_20_goals_for,last_20_goals_against,last_50_goals_for,last_50_goals_against,last_match_date_y,net_rating,market_value_eur,elo_norm,market_norm,attack_norm,defense_norm,form_norm,intelligence_score,decimal_odds,market_champion_prob,source,market_score,intelligence_score_v2
Spain,2031.028518089156,366.0,1990-02-21,2026-03-31,2.136612021857923,2.0956284153005464,0.7513661202185792,1.3442622950819672,0.6366120218579235,0.4890710382513661,5.0,2.2,2.6,0.4,2.2,0.6,0.8,0.2,10.0,2.4,3.1,0.8,2.3,0.7,0.7,0.1,20.0,2.4,2.65,0.95,1.7,0.7,0.5,0.1,50.0,2.32,2.34,0.78,1.56,0.7,0.5,0.12,1983.5104796492503,1268.5797158421626,366.0,2.2150603728158944,0.7749068673048946,1.722853687114052,0.5661148584970493,3.1,0.8,2.65,0.95,2.34,0.78,2026-03-31,1.0857414784967914,1270000000.0,1.0,0.9664579414192328,0.7787156980604936,0.66101844534524,0.8888888888888888,0.8964634957545571,5.5,0.152306785286518,bet365,1.0,0.9725615674781254
France,1961.1749702989048,403.0,1990-01-21,2026-03-29,2.074441687344913,1.8387096774193548,0.771712158808933,1.066997518610422,0.6153846153846154,0.4764267990074441,5.0,2.6,2.8,1.0,1.8,0.8,0.2,0.0,10.0,2.5,2.7,1.1,1.6,0.8,0.4,0.0,20.0,2.1,2.1,1.05,1.05,0.65,0.4,0.15,50.0,2.0,2.1,0.94,1.16,0.6,0.4,0.18,1917.5783778681637,1180.9102700406738,403.0,1.96767995208025,0.8573434390702156,1.466977943253863,0.6255199962816608,2.7,1.1,2.1,1.05,2.1,0.94,2026-03-29,0.8370902147939664,1480000000.0,0.9247222966641256,1.0,0.668687312225894,0.578077263377441,0.9259259259259258,0.8532600827655368,6.0,0.1396145531793081,bet365,0.9215492476394096,0.9200774562592146
England,1891.2944557905791,378.0,1990-03-28,2026-03-31,1.947089947089947,1.7724867724867726,0.7962962962962963,0.9761904761904762,0.5634920634920635,0.4682539682539682,5.0,2.0,2.0,0.4,1.6,0.6,0.6,0.2,10.0,2.2,2.2,0.5,1.7,0.7,0.7,0.1,20.0,2.2,2.1,0.65,1.45,0.7,0.55,0.05,50.0,1.96,1.98,0.78,1.2,0.58,0.46,0.16,1852.4055323878736,1183.5824895745432,378.0,1.8927332271556785,0.7684415497121774,1.497484139734008,0.5359491243736589,2.2,0.5,2.1,0.65,1.98,0.78,2026-03-31,0.847611107745084,1310000000.0,0.8503114710558418,0.9732551700042154,0.6353529556001025,0.6682758969788598,0.8148148148148149,0.8179486167389244,7.0,0.1196696170108355,bet365,0.7964866487277613,0.8586402618012441
Argentina,2014.3140143479104,431.0,1990-01-17,2026-03-31,1.9976798143851509,1.777262180974478,0.8654292343387471,0.9118329466357308,0.5823665893271461,0.4524361948955916,5.0,2.4,2.0,0.4,1.6,0.8,0.6,0.2,10.0,2.5,2.0,0.4,1.6,0.8,0.6,0.1,20.0,2.25,1.95,0.5,1.45,0.7,0.6,0.05,50.0,2.48,2.08,0.42,1.66,0.78,0.7,0.06,1977.096873366605,1281.6935930149723,431.0,1.866542290713426,0.7317389332607184,1.4418751937639032,0.5351711082306363,2.0,0.4,1.95,0.5,2.08,0.42,2026-03-31,0.8555359344743232,801500000.0,0.9926772916680084,0.8655661814261566,0.6237039073380448,0.7119058413098606,0.9259259259259258,0.8567626523301204,9.0,0.0930763687862054,bet365,0.6262256751967478,0.8320966983081655
Brazil,1894.551840721531,460.0,1990-03-28,2026-03-31,2.05,2.0369565217391306,0.782608695652174,1.2543478260869565,0.6043478260869565,0.4760869565217391,5.0,1.4,1.8,1.4,0.4,0.4,0.2,0.0,10.0,1.4,1.4,1.2,0.2,0.4,0.4,0.2,20.0,1.65,1.5,0.95,0.55,0.45,0.35,0.2,50.0,1.86,1.78,0.88,0.9,0.54,0.42,0.18,1845.0793235103713,970.2856955796668,460.0,1.9123872972917877,0.7503312913612692,1.485755317897608,0.5381340461582479,1.4,1.2,1.5,0.95,1.78,0.88,2026-03-31,0.876081890678313,909200000.0,0.8419468025019953,0.8932020683093287,0.6440945755137776,0.6892708730448666,0.5185185185185185,0.7698385670886789,9.0,0.0930763687862054,bet365,0.6262256751967478,0.7954442461343963
Portugal,1904.5596113869317,354.0,1990-08-29,2026-03-28,1.9830508474576272,2.022598870056497,0.8192090395480226,1.2033898305084745,0.576271186440678,0.4830508474576271,5.0,2.2,3.8,1.0,2.8,0.6,0.4,0.2,10.0,1.9,2.9,1.2,1.7,0.5,0.2,0.2,20.0,1.85,2.25,1.0,1.25,0.5,0.3,0.3,50.0,2.04,2.54,0.92,1.62,0.62,0.4,0.22,1854.5138196903304,1090.5312188606486,354.0,2.146555974134327,0.8651719349064774,1.6249824296253506,0.6185971761758188,2.9,1.2,2.25,1.0,2.54,0.92,2026-03-28,0.9660441029026192,972000000.0,0.8527185993258929,0.9078421287426708,0.7482467208185258,0.5710226095317665,0.7037037037037036,0.7936728118726444,11.0,0.076153392643259,bet365,0.5157073297490454,0.778252205576103
Germany,1880.492072139233,402.0,1990-02-28,2026-03-30,1.9676616915422889,2.1194029850746268,1.0522388059701493,1.0671641791044777,0.5771144278606966,0.36318407960199,5.0,3.0,3.6,0.8,2.8,1.0,0.6,0.0,10.0,1.9,2.4,1.4,1.0,0.6,0.3,0.2,20.0,2.0,2.3,1.1,1.2,0.6,0.35,0.1,50.0,1.76,2.16,1.18,0.98,0.5,0.32,0.14,1817.62623890133,1057.9318075055985,402.0,2.157413409520438,1.1348044454815711,1.691030640403444,0.8110295811912741,2.4,1.4,2.3,1.1,2.16,1.18,2026-03-30,0.7709518216571469,998000000.0,0.8106023571858763,0.9136282712891972,0.7530758260738435,0.387451877527989,0.7037037037037036,0.7535674187480013,15.0,0.0558458212717232,bet365,0.3807680280041571,0.7330510058451308
Netherlands,1881.014899895177,364.0,1990-02-21,2026-03-31,1.9505494505494505,2.021978021978022,0.8873626373626373,1.1346153846153846,0.5659340659340659,0.4313186813186813,5.0,2.2,2.4,0.6,1.8,0.6,0.4,0.0,10.0,2.4,3.0,0.6,2.4,0.7,0.5,0.0,20.0,1.85,2.5,1.05,1.45,0.5,0.35,0.05,50.0,2.0,2.4,1.02,1.38,0.58,0.44,0.06,1844.1780379693892,1197.8801170862253,364.0,2.1875656213206964,0.9484822492874216,1.6458265599068724,0.7048545460372331,3.0,0.6,2.5,1.05,2.4,1.02,2026-03-31,0.9341533435040628,833500000.0,0.8409177634793924,0.8741473112534347,0.7664867467273848,0.5031613715041492,0.8888888888888888,0.7921941516547649,21.0,0.0398898723369451,bet365,0.2729108892861411,0.6989415954470671
Morocco,1873.3055401734448,312.0,1990-08-09,2026-03-31,1.9166666666666667,1.5961538461538465,0.6666666666666666,0.9294871794871796,0.5544871794871795,0.5384615384615384,5.0,2.2,1.6,0.4,1.2,0.6,0.6,0.2,10.0,2.4,1.8,0.5,1.3,0.7,0.6,0.1,20.0,2.6,1.85,0.3,1.55,0.8,0.75,0.1,50.0,2.46,1.92,0.38,1.54,0.76,0.7,0.16,1856.316357321206,1217.3423607945429,312.0,1.7692412768719,0.5562941458082794,1.2868405016185975,0.433958029279581,1.8,0.5,1.85,0.3,1.92,0.38,2026-03-31,0.9144490544792124,484200000.0,0.8547766391784571,0.7550957462627994,0.5804269436186985,1.0,0.8888888888888888,0.8138986907098535,51.0,0.0164252415505068,bet365,0.1112528584840265,0.6215424008830603
Norway,1775.2208817064434,332.0,1990-02-07,2026-03-31,1.6355421686746987,1.5301204819277108,1.0,0.5301204819277109,0.4548192771084337,0.3915662650602409,5.0,2.0,2.8,0.8,2.0,0.6,0.4,0.2,10.0,2.5,3.4,0.7,2.7,0.8,0.5,0.1,20.0,2.25,2.95,0.9,2.05,0.7,0.5,0.1,50.0,1.94,2.3,0.96,1.34,0.58,0.44,0.18,1736.425988458215,1203.3916948061967,332.0,1.7977146683553642,1.0632934623922208,1.3498066587115942,0.7666074256080352,3.4,0.7,2.95,0.9,2.3,0.96,2026-03-31,0.5536851196420806,597200000.0,0.717892308536874,0.8010723712958963,0.5930911685999877,0.4270662893502548,0.9259259259259258,0.6971466120970088,26.0,0.0322187430413788,bet365,0.220466003232008,0.6125921936552741
Belgium,1784.6225334771557,314.0,1990-01-17,2026-03-31,1.71656050955414,1.751592356687898,1.0987261146496816,0.6528662420382165,0.4936305732484076,0.3662420382165605,5.0,2.2,3.8,0.8,3.0,0.6,0.4,0.0,10.0,2.0,3.3,1.1,2.2,0.6,0.4,0.1,20.0,1.55,2.2,1.05,1.15,0.45,0.35,0.3,50.0,1.76,2.04,1.04,1.0,0.52,0.38,0.18,1744.7753743894657,1051.1489184752595,314.0,2.0959530818200474,0.9829336842931072,1.6020558577951745,0.716603632145322,3.3,1.1,2.2,1.05,2.04,1.04,2026-03-31,0.8391128595959786,548200000.0,0.7274251852417042,0.7823068412412533,0.7257398686458872,0.4784607132975946,0.7407407407407407,0.7048796865105061,34.0,0.0246378623257602,bet365,0.1682538036245112,0.6119494912628105
Japan,1855.7452085866976,380.0,1990-09-26,2026-03-31,1.8526315789473684,1.9894736842105265,1.0052631578947369,0.9842105263157894,0.5473684210526316,0.431578947368421,5.0,3.0,2.0,0.4,1.6,1.0,0.8,0.0,10.0,2.3,2.0,0.5,1.5,0.7,0.7,0.2,20.0,2.25,2.6,0.7,1.9,0.7,0.55,0.1,50.0,2.24,2.92,0.78,2.14,0.7,0.42,0.12,1850.8787164104665,1230.89542238471,380.0,2.26682407995266,0.9292050701823248,1.5923218462832966,0.6525421104789503,2.0,0.5,2.6,0.7,2.92,0.78,2026-03-31,1.00844002793865,279050000.0,0.8485682352558163,0.6342969037801512,0.801738850515875,0.5177817070382441,0.8518518518518517,0.7386863771028765,51.0,0.0164252415505068,bet365,0.1112528584840265,0.5902682321405577
