team,elo
Spain,1983.5104796492503
Argentina,1977.096873366605
France,1917.5783778681637
Morocco,1856.316357321206
Portugal,1854.5138196903306
England,1852.4055323878738
Japan,1850.8787164104663
Brazil,1845.0793235103713
Netherlands,1844.1780379693892
Colombia,1821.738144608152
Germany,1817.62623890133
Italy,1802.3727172720928
Croatia,1795.3548264025985
Senegal,1793.5993824816353
Ecuador,1791.9499834322432
Uruguay,1784.5235434765625
Australia,1770.0566002309101
Algeria,1763.3602537837082
Switzerland,1760.3946665499175
Iran,1755.0901714569477
Belgium,1744.7753743894657
Turkey,1744.4824600862678
Uzbekistan,1736.6446339640638
Norway,1736.425988458215
Denmark,1735.3671808673998
Mexico,1729.7164899584739
Paraguay,1727.6132152985142
Russia,1712.593066928048
Iraq,1703.4990086140394
Nigeria,1701.5551941590886
Egypt,1692.3112550956344
Tunisia,1689.95000744289
Austria,1689.645823493014
Canada,1689.3017245254118
Hungary,1674.0287044896086
Serbia,1665.0846930677328
Scotland,1660.6005250513144
Cameroon,1659.141918754153
Venezuela,1659.1038228837933
Sweden,1651.215006778394
Ukraine,1651.1987583424857
Poland,1646.405571002461
Chile,1639.4554654937406
Mali,1634.9829878965127
Jordan,1634.7551063848398
Greece,1625.164514823854
Wales,1621.1685355845143
Slovenia,1619.1623757861307
Kosovo,1613.508811256577
Oman,1612.5104988222124
Qatar,1608.8886690735103
Panama,1599.549340864291
Peru,1597.5656522746801
Romania,1588.8238004811183
Slovakia,1583.5646152773925
Bahrain,1583.339314150509
Thailand,1562.4213521662177
Israel,1553.7778146012283
Bolivia,1552.6641826133157
Jamaica,1550.4912008983754
Georgia,1548.4900979243587
Tahiti,1547.9397936783273
Albania,1546.9680479831663
Ghana,1545.4105825062863
Syria,1544.2910420560438
Angola,1538.4200619055466
Vanuatu,1537.1016267658342
Guatemala,1535.6511627305981
Libya,1533.9794801985463
Fiji,1530.3176208717862
Vietnam,1528.7453084656308
Haiti,1527.5474106888976
Honduras,1527.0217285787812
Benin,1523.798698872451
Guinea,1516.2487950847737
Gabon,1514.6828061411018
Palestine,1511.1897036018886
Malaysia,1510.4860571646261
Iceland,1510.4433806072745
Czechoslovakia,1508.2761853378759
Kurdistan,1505.773778890101
Curaçao,1504.4454806245346
Yugoslavia,1502.990368573643
Uganda,1497.2113912621212
Mozambique,1492.4293284843754
Kuwait,1488.0215342608358
Palau,1487.560806035286
Finland,1482.6497522257298
Suriname,1481.854099969161
Monaco,1480.4781582586174
Indonesia,1479.0683914806764
Zambia,1474.4781730233674
Montenegro,1472.7604066184806
Gambia,1472.653497410112
Togo,1472.3237146011274
Kyrgyzstan,1467.3708877577048
Mauritania,1466.6817012135023
Zanzibar,1466.4089266577257
Kenya,1464.7141358833805
Mayotte,1462.92463427544
Guadeloupe,1461.4876233530285
Guyana,1460.9639700313865
Belarus,1456.4331650192103
Kiribati,1455.1388762984773
Bulgaria,1454.6851887796054
Niger,1451.1997819536905
Tajikistan,1449.3543442259722
Tibet,1449.0666830811049
Tuvalu,1447.456244485605
Greenland,1446.708337055767
Lebanon,1442.4823076777227
Madagascar,1441.828858071097
Martinique,1440.2983920507954
Zimbabwe,1435.5867064874742
Turkmenistan,1427.0928210805703
Malawi,1426.6199340476317
Botswana,1423.7623128714974
Rwanda,1422.8251741861911
Burundi,1420.2092787025254
Comoros,1419.6901921016552
Sudan,1417.1876634396408
Ethiopia,1414.5214675844675
Kazakhstan,1407.4484589810315
Nicaragua,1405.804064651621
Tanzania,1404.0720062785454
Namibia,1403.6866109410134
Bonaire,1398.9631588109305
Armenia,1397.840766944652
Samoa,1391.1137271705854
Liberia,1389.7202599393847
Philippines,1385.2559796476794
Congo,1384.1151363185504
Cuba,1380.8290926622087
Guinea-Bissau,1379.984121866359
Singapore,1378.4942093137472
Montserrat,1375.5917963402371
Yemen,1375.0655885181336
India,1374.4912733801048
Bermuda,1364.8897375274428
Estonia,1363.4317148530342
Luxembourg,1360.7320605024165
Lesotho,1359.3379001828616
Eswatini,1342.5008741113875
Azerbaijan,1335.3515487562734
Tonga,1334.3018548037528
Malta,1324.4190860304627
Afghanistan,1322.5011544211936
Cyprus,1320.2696753556818
Aruba,1309.6205991708123
Latvia,1305.3008353356565
Chad,1305.0377366267526
Barbados,1300.9336037957817
Grenada,1299.1546494832019
Mauritius,1297.1109180193248
Eritrea,1291.1488911544952
Lithuania,1286.3765924538648
Myanmar,1282.422606684485
Belize,1280.7371092206604
Anguilla,1276.7064078538333
Moldova,1274.8512209958606
Bangladesh,1272.0999466785015
Dominica,1270.44734667554
Bahamas,1263.732923968278
Nepal,1255.509618039991
Taiwan,1247.8836902175863
Maldives,1236.7027604654027
Mongolia,1224.2622601367136
Gibraltar,1203.2016429253417
Djibouti,1199.2683420319447
Guam,1192.6043967138269
Cambodia,1190.4850132174295
Somalia,1188.5795536310534
Pakistan,1177.2643949085139
Laos,1167.3457698690436
Brunei,1149.3506094204704
Seychelles,1148.8043915548503
Andorra,1128.7088340554938
Liechtenstein,1111.989871306936
Bhutan,1107.6588149549839
