date,home_team,away_team,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1990-01-12,Algeria,Mali,1500.0,1500.0,1510.0,1490.0
1990-01-14,Algeria,Cameroon,1510.0,1500.0,1519.71225631668,1490.28774368332
1990-01-17,Greece,Belgium,1500.0,1500.0,1510.0,1490.0
1990-01-17,Mexico,Argentina,1500.0,1500.0,1510.0,1490.0
1990-01-20,Eswatini,Botswana,1500.0,1500.0,1510.0,1490.0
1990-01-20,Malawi,Tanzania,1500.0,1500.0,1500.0,1500.0
1990-01-21,Kuwait,France,1500.0,1500.0,1490.0,1510.0
1990-01-21,Eswatini,Tanzania,1510.0,1500.0,1499.71225631668,1510.28774368332
1990-01-21,Botswana,Malawi,1490.0,1500.0,1490.28774368332,1499.71225631668
1990-01-23,Botswana,Tanzania,1490.28774368332,1510.28774368332,1490.8627549611654,1509.7127324054748
1990-01-24,Liberia,Senegal,1500.0,1500.0,1490.0,1510.0
1990-01-28,Nigeria,Senegal,1500.0,1510.0,1500.28774368332,1509.71225631668
1990-01-29,Thailand,Kenya,1500.0,1500.0,1510.0,1490.0
1990-02-02,Colombia,Uruguay,1500.0,1500.0,1490.0,1510.0
1990-02-02,Indonesia,Kenya,1500.0,1490.0,1489.71225631668,1500.28774368332
1990-02-02,Iran,Poland,1500.0,1500.0,1490.0,1510.0
1990-02-04,Algeria,Romania,1519.71225631668,1500.0,1519.14549997581,1500.56675634087
1990-02-04,Iran,Poland,1490.0,1510.0,1480.5750112778453,1519.4249887221547
1990-02-05,Thailand,Indonesia,1510.0,1489.71225631668,1509.4167345713752,1490.2955217453048
1990-02-07,Malta,Norway,1500.0,1500.0,1500.0,1500.0
1990-02-10,Uganda,Mauritius,1500.0,1500.0,1510.0,1490.0
1990-02-11,Kuwait,Poland,1490.0,1519.4249887221547,1490.8449001422043,1518.5800885799504
1990-02-11,Togo,Cameroon,1500.0,1490.28774368332,1499.7205315838,1490.56721209952
1990-02-14,Egypt,Denmark,1500.0,1500.0,1500.0,1500.0
1990-02-15,Kuwait,Finland,1490.8449001422043,1500.0,1481.1083441267558,1509.7365560154485
1990-02-20,Colombia,Russia,1490.0,1500.0,1490.28774368332,1499.71225631668
1990-02-21,Belgium,Sweden,1490.0,1500.0,1490.28774368332,1499.71225631668
1990-02-21,Gambia,Guinea-Bissau,1500.0,1500.0,1490.0,1510.0
1990-02-21,Kuwait,Bahrain,1481.1083441267558,1500.0,1491.6515544466931,1489.4567896800627
1990-02-21,Netherlands,Italy,1500.0,1500.0,1500.0,1500.0
1990-02-21,Spain,Czechoslovakia,1500.0,1500.0,1510.0,1490.0
1990-02-23,Qatar,Bahrain,1500.0,1489.4567896800627,1499.6966351274632,1489.7601545525995
1990-02-24,Kuwait,Oman,1491.6515544466931,1500.0,1491.8917957900364,1499.7597586566567
1990-02-28,Egypt,Austria,1500.0,1500.0,1500.0,1500.0
1990-02-28,France,Germany,1510.0,1500.0,1519.71225631668,1490.28774368332
1990-03-01,Bahrain,Oman,1489.7601545525995,1499.7597586566567,1490.0478868505525,1499.4720263587037
1990-03-02,Algeria,Nigeria,1519.14549997581,1500.28774368332,1528.6032624902966,1490.8299811688335
1990-03-03,Cameroon,Zambia,1490.56721209952,1500.0,1480.8386428715312,1509.7285692279888
1990-03-03,Senegal,Kenya,1509.71225631668,1500.28774368332,1509.4410635506772,1500.5589364493228
1990-03-04,Oman,Qatar,1499.4720263587037,1499.6966351274632,1489.478491117837,1509.69017036833
1990-03-05,Nigeria,Egypt,1490.8299811688335,1500.0,1501.0938542574531,1489.7361269113803
1990-03-06,Cameroon,Senegal,1480.8386428715312,1509.4410635506772,1471.6600319516438,1518.6196744705646
