date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win,draw,away_win,goal_diff,total_goals,home_advantage,days_ago,time_weight
1990-01-12,Algeria,Mali,5.0,0.0,Friendly,Paris,France,True,1,0,0,5.0,5.0,0,13227,0.0266801451795178
1990-01-14,Algeria,Cameroon,3.0,1.0,Friendly,Paris,France,True,1,0,0,2.0,4.0,0,13225,0.0266947684431581
1990-01-17,Greece,Belgium,2.0,0.0,Friendly,Athens,Greece,False,1,0,0,2.0,2.0,1,13222,0.0267167183680092
1990-01-17,Mexico,Argentina,2.0,0.0,Friendly,Los Angeles,United States,True,1,0,0,2.0,2.0,0,13222,0.0267167183680092
1990-01-20,Eswatini,Botswana,3.0,1.0,Friendly,Lobamba,Swaziland,False,1,0,0,2.0,4.0,1,13219,0.0267386863413106
1990-01-20,Malawi,Tanzania,2.0,2.0,Friendly,Lobamba,Swaziland,True,0,1,0,0.0,4.0,0,13219,0.0267386863413106
1990-01-21,Kuwait,France,0.0,1.0,Friendly,Kuwait City,Kuwait,False,0,0,1,-1.0,1.0,1,13218,0.0267460130124091
1990-01-21,Eswatini,Tanzania,0.0,1.0,Friendly,Lobamba,Swaziland,False,0,0,1,-1.0,1.0,1,13218,0.0267460130124091
1990-01-21,Botswana,Malawi,2.0,2.0,Friendly,Lobamba,Swaziland,True,0,1,0,0.0,4.0,0,13218,0.0267460130124091
1990-01-23,Botswana,Tanzania,0.0,0.0,Friendly,Lobamba,Swaziland,True,0,1,0,0.0,0.0,0,13216,0.0267606723779027
1990-01-24,Liberia,Senegal,0.0,1.0,Friendly,Bauchi,Nigeria,True,0,0,1,-1.0,1.0,0,13215,0.0267680050733981
1990-01-28,Nigeria,Senegal,1.0,1.0,Friendly,Bauchi,Nigeria,False,0,1,0,0.0,2.0,1,13211,0.0267973559532149
1990-01-29,Thailand,Kenya,2.0,1.0,King's Cup,Bangkok,Thailand,False,1,0,0,1.0,3.0,1,13210,0.0268046987003818
1990-02-02,Colombia,Uruguay,0.0,2.0,Miami Cup,Miami,United States,True,0,0,1,-2.0,2.0,0,13206,0.0268340898144347
1990-02-02,Indonesia,Kenya,2.0,3.0,King's Cup,Bangkok,Thailand,True,0,0,1,-1.0,5.0,0,13206,0.0268340898144347
1990-02-02,Iran,Poland,0.0,2.0,Friendly,Tehran,Iran,False,0,0,1,-2.0,2.0,1,13206,0.0268340898144347
1990-02-04,Algeria,Romania,0.0,0.0,Friendly,Algiers,Algeria,False,0,1,0,0.0,0.0,1,13204,0.0268487974544144
1990-02-04,Iran,Poland,0.0,1.0,Friendly,Tehran,Iran,False,0,0,1,-1.0,1.0,1,13204,0.0268487974544144
1990-02-05,Thailand,Indonesia,1.0,1.0,King's Cup,Bangkok,Thailand,False,0,1,0,0.0,2.0,1,13203,0.026856154297074
