match_id,group,home_team,away_team,date_utc,venue
1,A,Mexico,South Africa,,
2,A,Mexico,South Korea,,
3,A,Mexico,Czechia,,
4,A,South Africa,South Korea,,
5,A,South Africa,Czechia,,
6,A,South Korea,Czechia,,
7,B,Canada,Bosnia and Herzegovina,,
8,B,Canada,Qatar,,
9,B,Canada,Switzerland,,
10,B,Bosnia and Herzegovina,Qatar,,
11,B,Bosnia and Herzegovina,Switzerland,,
12,B,Qatar,Switzerland,,
13,C,Brazil,Morocco,,
14,C,Brazil,Haiti,,
15,C,Brazil,Scotland,,
16,C,Morocco,Haiti,,
17,C,Morocco,Scotland,,
18,C,Haiti,Scotland,,
19,D,United States,Paraguay,,
20,D,United States,Australia,,
21,D,United States,Turkey,,
22,D,Paraguay,Australia,,
23,D,Paraguay,Turkey,,
24,D,Australia,Turkey,,
25,E,Germany,Curaçao,,
26,E,Germany,Ivory Coast,,
27,E,Germany,Ecuador,,
28,E,Curaçao,Ivory Coast,,
29,E,Curaçao,Ecuador,,
30,E,Ivory Coast,Ecuador,,
31,F,Netherlands,Japan,,
32,F,Netherlands,Sweden,,
33,F,Netherlands,Tunisia,,
34,F,Japan,Sweden,,
35,F,Japan,Tunisia,,
36,F,Sweden,Tunisia,,
37,G,Belgium,Egypt,,
38,G,Belgium,Iran,,
39,G,Belgium,New Zealand,,
40,G,Egypt,Iran,,
41,G,Egypt,New Zealand,,
42,G,Iran,New Zealand,,
43,H,Spain,Cape Verde,,
44,H,Spain,Saudi Arabia,,
45,H,Spain,Uruguay,,
46,H,Cape Verde,Saudi Arabia,,
47,H,Cape Verde,Uruguay,,
48,H,Saudi Arabia,Uruguay,,
49,I,France,Senegal,,
50,I,France,Iraq,,
51,I,France,Norway,,
52,I,Senegal,Iraq,,
53,I,Senegal,Norway,,
54,I,Iraq,Norway,,
55,J,Argentina,Algeria,,
56,J,Argentina,Austria,,
57,J,Argentina,Jordan,,
58,J,Algeria,Austria,,
59,J,Algeria,Jordan,,
60,J,Austria,Jordan,,
61,K,Portugal,Democratic Republic of Congo,,
62,K,Portugal,Uzbekistan,,
63,K,Portugal,Colombia,,
64,K,Democratic Republic of Congo,Uzbekistan,,
65,K,Democratic Republic of Congo,Colombia,,
66,K,Uzbekistan,Colombia,,
67,L,England,Croatia,,
68,L,England,Ghana,,
69,L,England,Panama,,
70,L,Croatia,Ghana,,
71,L,Croatia,Panama,,
72,L,Ghana,Panama,,
